team,season,season_end_year,wins,losses,win_pct,predicted_win_pct,training_seasons,selected_model,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url,scheduled_games_for_line,predicted_wins,pick,model_edge_wins,comparison_actual_wins,model_abs_error_wins,market_abs_error_wins,grade,stake,profit,cash_return
Philadelphia 76ers,2017-18,2018,52,30,0.63414633,0.4702074605866276,4,random_forest,39.5,52,30,over,+19000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,38.557011768103465,under,-0.9429882318965355,52.0,13.442988231896535,12.5,loss,10.0,-10.0,0.0
Phoenix Suns,2017-18,2018,21,61,0.25609756,0.5667073266264769,4,random_forest,28.5,21,61,under,+125000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,46.470000783371106,over,17.970000783371106,21.0,25.470000783371106,7.5,loss,10.0,-10.0,0.0
Portland Trail Blazers,2017-18,2018,49,33,0.597561,0.5501609596819519,4,random_forest,42.5,49,33,over,+31500,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,45.113198693920054,over,2.6131986939200544,49.0,3.8868013060799456,6.5,win,10.0,9.090909090909092,19.090909090909093
Sacramento Kings,2017-18,2018,27,55,0.3292683,0.4434124796238308,4,random_forest,27.5,27,55,under,+125000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,36.359823329154125,over,8.859823329154125,27.0,9.359823329154125,0.5,loss,10.0,-10.0,0.0
San Antonio Spurs,2017-18,2018,47,35,0.5731707,0.6117406684230096,4,random_forest,55.0,47,35,under,+1800,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,50.162734810686786,under,-4.837265189313214,47.0,3.1627348106867856,8.0,win,10.0,9.090909090909092,19.090909090909093
Toronto Raptors,2017-18,2018,59,23,0.7195122,0.6324591510204399,4,random_forest,48.5,59,23,over,+15000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,51.86165038367607,over,3.3616503836760714,59.0,7.138349616323929,10.5,win,10.0,9.090909090909092,19.090909090909093
Utah Jazz,2017-18,2018,48,34,0.58536583,0.482293134543812,4,random_forest,40.5,48,34,over,+25000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,39.54803703259258,under,-0.9519629674074181,48.0,8.451962967407418,7.5,loss,10.0,-10.0,0.0
Washington Wizards,2017-18,2018,43,39,0.5243902,0.5946885752278824,4,random_forest,48.5,43,39,under,+9000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,48.76446316868636,over,0.2644631686863619,43.0,5.764463168686362,5.5,loss,10.0,-10.0,0.0
Atlanta Hawks,2018-19,2019,29,53,0.35365853,0.36339145802956263,5,extra_trees,23.5,29,53,over,+150000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,29.798099558424134,over,6.298099558424134,29.0,0.7980995584241342,5.5,win,10.0,9.090909090909092,19.090909090909093
Boston Celtics,2018-19,2019,49,33,0.597561,0.6931966291294933,5,extra_trees,59.0,49,33,under,+620,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,56.84212358861845,under,-2.157876411381551,49.0,7.842123588618449,10.0,win,10.0,9.090909090909092,19.090909090909093
Brooklyn Nets,2018-19,2019,42,40,0.5121951,0.4789264097275713,5,extra_trees,32.0,42,40,over,+125000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,39.271965597660845,over,7.271965597660845,42.0,2.728034402339155,10.0,win,10.0,9.090909090909092,19.090909090909093
Charlotte Hornets,2018-19,2019,39,43,0.47560975,0.47837233098467996,5,extra_trees,35.5,39,43,over,+50000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,39.22653114074376,over,3.7265311407437594,39.0,0.22653114074375935,3.5,win,10.0,9.090909090909092,19.090909090909093
Chicago Bulls,2018-19,2019,22,60,0.2682927,0.4864003594909978,5,extra_trees,30.0,22,60,under,+50000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,39.88482947826182,over,9.884829478261821,22.0,17.88482947826182,8.0,loss,10.0,-10.0,0.0
Cleveland Cavaliers,2018-19,2019,19,63,0.23170732,0.33792796986371787,5,extra_trees,30.5,19,63,under,+50000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,27.710093528824864,under,-2.7899064711751365,19.0,8.710093528824864,11.5,win,10.0,9.090909090909092,19.090909090909093
Dallas Mavericks,2018-19,2019,33,49,0.40243903,0.5039725365996233,5,extra_trees,35.5,33,49,under,+35000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,41.32574800116911,over,5.82574800116911,33.0,8.32574800116911,2.5,loss,10.0,-10.0,0.0
Denver Nuggets,2018-19,2019,54,28,0.6585366,0.5478566806765964,5,extra_trees,47.5,54,28,over,+20000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,44.92424781548091,under,-2.5757521845190894,54.0,9.07575218451909,6.5,loss,10.0,-10.0,0.0
Detroit Pistons,2018-19,2019,41,41,0.5,0.535608755711573,5,extra_trees,38.5,41,41,over,+35000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,43.91991796834898,over,5.419917968348983,41.0,2.919917968348983,2.5,win,10.0,9.090909090909092,19.090909090909093
Golden State Warriors,2018-19,2019,57,25,0.69512194,0.658344746819497,5,extra_trees,62.5,57,25,under,-168,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,53.98426923919875,under,-8.515730760801247,57.0,3.0157307608012474,5.5,win,10.0,9.090909090909092,19.090909090909093
Houston Rockets,2018-19,2019,53,29,0.64634144,0.6787560923650993,5,extra_trees,56.5,53,29,under,+1000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,55.65799957393814,under,-0.8420004260618583,53.0,2.6579995739381417,3.5,win,10.0,9.090909090909092,19.090909090909093
Indiana Pacers,2018-19,2019,48,34,0.58536583,0.54737629616775,5,extra_trees,47.5,48,34,over,+12500,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,44.8848562857555,under,-2.6151437142445033,48.0,3.1151437142445033,0.5,loss,10.0,-10.0,0.0
